Family,Species,Authority,Common Name,Respondents (n),Mobility (mean),Mobility (sd),Wingspan,Range size,Larval host breadth,Conservation status
Pieridae,Abaeis nicippe,(Cramer),Sleepy Orange,1,7.00,,26,,3,5
Nymphalidae,Aglais milberti,(Godart),Milbert's Tortoiseshell,40,6.85,1.85,43,5559295,2,5
Nymphalidae,Agraulis vanillae,(Linnaeus),Gulf Fritillary,2,7.00,0.00,86,,2,5
Hesperiidae,Amblyscirtes hegon,(Scudder),Pepper And Salt Skipper,6,3.17,0.98,20,1432248,3,4
Hesperiidae,Amblyscirtes oslari,(Skinner),Oslar's Roadside Skipper,1,5.00,,24,636463,1,4
Hesperiidae,Amblyscirtes vialis,(W. H. Edwards),Common Roadside Skipper,17,3.71,1.83,21.5,3591965,3,4
Hesperiidae,Anatrytone logan,(W. H. Edwards),Delaware Skipper,16,5.13,1.67,28,2248551,3,5
Hesperiidae,Ancyloxypha numitor,(Fabricius),Least Skipper,25,3.24,1.92,21.5,2361797,3,5
Pieridae,Anthocharis sara sara,Lucas,Pacific Orangetip,9,5.78,1.79,36,1781966,3,5
Pieridae,Anthocharis sara stella,W. H. Edwards,Stella Orangetip,2,6.50,0.71,35,,3,5
Riodinidae,Apodemia mormo,(C. Felder & R. Felder),Mormon Metalmark,7,4.14,2.61,28.5,1437668,2,5
Nymphalidae,Asterocampa celtis,(Boisduval & Le Conte),Hackberry Emperor,9,5.33,2.00,43,2345170,2,5
Nymphalidae,Asterocampa clyton,(Boisduval & Le Conte),Tawny Emperor,9,5.33,2.18,52,1735670,2,5
Hesperiidae,Atalopedes campestris,(Boisduval),Sachem,7,6.29,1.80,26.5,3071590,3,5
Hesperiidae,Atrytonopsis hianna,,Dusted Skipper,2,1.50,0.71,30,1545483,2,4
Papilionidae,Battus philenor,(Linnaeus),Pipevine Swallowtail,8,7.13,1.96,70.5,2633472,1,5
Nymphalidae,Boloria alaskensis,(W. Holland),Mountain Fritillary,4,4.75,1.26,33,,,5
