CheckListKey,Genus,Species,Subspecies,CombinedLatin,CommonName,Show,NWquadrant,NEquadrant,SWquadrant,SEquadrant,Kind,Revised,Author,Year,Changed,By,Comment,CountTotal,Countys,Endangered,Synonym,Family,GCKey,grp,SortOrder,tmp_SitesReporting,tmp_TotalCount,tmp_HighCountSite,tmp_HighCount,tmp_HighCountDate,tmp_HighCtyAbbr
3870  a,Epargyreus,clarus,clarus,Epargyreus clarus clarus,Silver-spotted Skipper,TRUE,,,,,S,T,Cramer,1775,,,,39221,114,"res., common",,40,40,0,007  a,70,3004,Kitty Todd Nature Preserve,37,8/13/2011,Luca
3886,Urbanus,proteus,,Urbanus proteus,Long-tailed Skipper,TRUE,N,N,N,N,S,T,Linnaeus,1758,,,,3,2,"stray, rare",,40,40,0,024,0,0,,0,,Fran
3902,Autochton,cellus,,Autochton cellus,Gold-banded Skipper,TRUE,N,N,N,,S,T,Boisduval & LeConte,1837,,,,15,3,"res., uncommon to rare",,40,40,0,040,1,4,Shawnee Bridle Trail #5 - SE,4,6/3/2011,Cler
3904,Achalarus,lyciades,,Achalarus lyciades,Hoary Edge Skipper,TRUE,,,,,S,T,Geyer,1832,,,,161,21,"res., uncommon, localized pops.",,40,40,0,042,11,52,Shawnee Bridal Trail #5 - NW,13,6/3/2011,Scit
3909,Thorybes,bathyllus,,Thorybes bathyllus,Southern Cloudywing,TRUE,,,,,S,T,J. E. Smith,1797,,,,374,27,"res., uncommon to common, southernly",,40,40,0,047,7,68,Moseley Barrens/Kitty Todd,11,6/18/2011,Luca
3910,Thorybes,pylades,,Thorybes pylades,Northern Cloudywing,TRUE,,,,,S,T,Scudder,1870,,,,328,33,"res., uncommon to common",,40,40,0,048,7,28,Shawnee Bridal Trail #5 - NW,8,6/3/2011,Scit
3913,Thorybes,confusis,,Thorybes confusis,Confused Cloudywing,FALSE,N,N,N,N,S,F,Bell,1922,,,,0,0,"possible res., rare",,40,40,0,051,,,,,,
3932,Staphylus,hayhurstii,,Staphylus hayhurstii,Hayhurst's Scallopwing,TRUE,N,N,,N,S,T,W. H. Edwards,1870,,,,23,4,"res., rare to uncommon, southernly",Southern Sootywing,40,40,0,070,2,4,Jude's Butterfly Trail,2,8/13/2011,Mont
3945,Erynnis,icelus,,Erynnis icelus,Dreamy Duskywing,TRUE,,,,,S,T,Scudder & Burgess,1870,,,,610,36,"res., uncommon to common, southernly",,40,40,0,083,8,23,Oak Openings-Campbell Prairie,4,5/22/2011,Luca
3946,Erynnis,brizo,brizo,Erynnis brizo brizo,Sleepy Duskywing,TRUE,,,,,S,T,Boisduval & LeConte,1834,,,,566,24,"res., uncommon to common, southernly",,40,40,0,084  a,6,35,Oak Openings-Campbell Prairie,6,5/13/2011,Luca
3947,Erynnis,juvenalis,juvenalis,Erynnis juvenalis juvenalis,Juvenal's Duskywing,TRUE,,,,,S,T,Fabricius,1793,,,,2497,61,"res., common",,40,40,0,085  a,21,179,Shawnee Bridal Trail #5 - NW,48,4/14/2011,Scit
3952,Erynnis,horatius,,Erynnis horatius,Horace's Duskywing,TRUE,,,,,S,T,Scudder & Burgess,1870,,,,1279,59,"res., uncommon, southernly",,40,40,0,090,15,106,Kitty Todd Nature Preserve,7,7/15/2011,Luca
3954,Erynnis,martialis,,Erynnis martialis,Mottled Duskywing,TRUE,N,N,,,S,T,Scudder,1869,,,,4,3,"res., rare, localized pops.",,40,40,0,092,0,0,,0,,Hock
3956,Erynnis,zarucco,,Erynnis zarucco,Zarucco Duskywing,FALSE,,,,,S,T,Lucas,1857,,,,0,0,Species of possible occurrence in Ohio,,,,,094,0,0,,0,,
3957,Eyrnnis,funeralis,,Eyrnnis funeralis,Funereal Duskywing,FALSE,,,,,S,T,Scudder & Burgess,1870,,,,0,0,Species of possible occurrence in Ohio,,,,,095,0,0,,0,,
3958,Erynnis,lucilius,,Erynnis lucilius,Columbine Duskywing,FALSE,,,,,S,T,Scudder & Burgess,1870,,,,0,0,"possible res., rare",,40,40,0,096,,,,,,
3959,Erynnis,baptisiae,,Erynnis baptisiae,Wild Indigo Duskywing,TRUE,,,,,S,T,Forbes,1936,,,,9611,60,"res., uncommon to common",,40,40,0,097,31,1344,Dike 14 NP-Cleve.Lakefront NP,75,8/26/2011,Cuyh
3961,Erynnis,persius,persius,Erynnis persius persius,Persius Duskywing,TRUE,,,N,N,S,T,Scudder,1863,,,,7,3,"ENDANGERED, res., rare, localized",,40,40,0,099  a,0,0,,0,,Luca
3962  b,Pyrgus,centaureae,wyandot,Pyrgus centaureae wyandot,Grizzled Skipper,FALSE,N,N,N,,S,T,W. H. Edwards,1863,,,,0,0,"res., rare, localized pops. @ low densities",,40,40,0,100  b,,,,,,
3966,Pyrgus,communis,,Pyrgus communis,Common Checkered-Skipper,TRUE,,,,,S,T,Grote,1872,,,,2185,49,"regular immigrant, uncommon to rare, southernly",,40,40,0,104,25,325,Jude's Butterfly Trail,57,8/27/2011,Mont
3977,Pholisora,catullus,,Pholisora catullus,Common Sooty Wing,TRUE,,,,,S,T,Fabricius,1793,,,,917,62,"res., common",,40,40,0,115,15,58,Kiser Lake State Park-1 & 2,6,9/12/2011,Cham
3993,Nastra,lherminier,,Nastra lherminier,Swarthy Skipper,TRUE,N,N,,,S,T,Latreille,1824,,,,184,20,"res., uncommon to rare, southernly",,40,40,0,131,3,16,Grant Park,7,8/15/2011,Mont
3998,Lerema,accius,,Lerema accius,Clouded Skipper,FALSE,,,,,S,T,J. E. Smith,1797,,,,0,0,Species of possible occurrence in Ohio,,,,,136,0,0,,0,,
4004,Ancyloxypha,numitor,,Ancyloxypha numitor,Least Skipper,TRUE,,,,,S,T,Fabricius,1793,,,,18369,101,"res., common",,40,40,0,142,54,1552,Naturealm,72,6/11/2011,Summ
4010,Copaeodes,minimus,,Copaeodes minimus,Southern Skipperling,FALSE,,,,,S,T,W. H. Edwards,1870,,,,0,0,"stray or transported, rare",,40,40,0,148,,,,,,
4012,Thymelicus,lineola,,Thymelicus lineola,European Skipper,TRUE,,,,,S,T,Ochsenheimer,1808,,,,43792,83,"naturalized res., common, northernly",,40,40,0,150,23,2442,Pine Hollow,964,6/11/2011,Summ
4013,Hylephila,phyleus,phyleus,Hylephila phyleus phyleus,Fiery Skipper,TRUE,,,,,S,T,Drury,1773,,,,1612,77,"regular immigrant, uncommon to rare, southernly",,40,40,0,151  a,31,179,Pententiary Glen,13,8/27/2011,Lake
4023,Hesperia,leonardus,leonardus,Hesperia leonardus leonardus,Leonard's Skipper,TRUE,,,,,S,F,Harris,1862,,,,993,21,"res., uncommon to rare, southernly",,40,40,0,161  a,6,121,Moseley Barrens/Kitty Todd,32,8/27/2011,Luca
