CheckListKey,CombinedLatin,CommonName,Countys,Endangered,Synonym,MinBrood,MaxBroodNumb,ResStatus,WinterStage,GenvsSpec,Broods,Brood Notes,Status,Distribution,Hostplants,Broods,Overwinter,Ecology,Notes
4481,Phyciodes tharos tharos,Pearl Crescent,118,"res., common",,3,4,resident,larva,generalist,"3,4",,resident,statewide,many asters,"3+, overlapping in South","3rd instar larva, some from early broods",Generalist,
4363,Celastrina ladon ladon,Spring/Summer Azure,116,"res., common",Celastrina argiolus ladon,3,4,resident,pupa,generalist,"3,4",overlapping,resident,statewide,,,,,lumped together until distinguishable
4210,Colias eurytheme,Orange Sulphur,115,"naturalized res., common",Alfalfa Butterfly,3,5,naturalized,pupa,generalist,"3,4,5",overlapping,naturalized resident,statewide,various legumes,multiple overlapping broods,pupa,generalist,
4197,Pieris rapae,Cabbage White,115,"naturalized res., common",European Cabbage White,3,5,naturalized,pupa,generalist,"3,4,5",overlapping,naturalized resident,statewide,Crucifers,"Multiple continuous, overlapping",Pupa,Generalist,
4614,Danaus plexippus,Monarch,114,"regular immigrant, common",,2,4,immigrant,adult,generalist,"2,3,4",overlapping,regular immigrant,statewide,milkweeds,1 to 4 depending on latitude,adults,generalist,
3870  a,Epargyreus clarus clarus,Silver-spotted Skipper,114,"res., common",,2,3,resident,pupa,generalist,"2,3",,resident,statewide,varied legumes,"1 in far North, 2-3 mid latitude, 3-4 in S. FL",pupa,generalist,
4176,Papilio glaucus glaucus,Eastern Tiger Swallowtail,114,"res., common",Papilio glaucus,2,3,resident,pupa,generalist,"2,3",3rd partial brood in Southern OH occasional,resident,statewide,Trees in multiple families,"2 overlapping in North, 3 in South",Pupae from different generations,Generalist,
4209,Colias philodice philodice,Clouded Sulphur,113,"res., common",Clouded Sulphur,3,5,resident,pupa,generalist,"3,4,5",overlapping,resident,statewide,various legumes,multiple overlapping broods,"pupa, possibly larva",Generalist,
4361,Everes comyntas comyntas,Eastern Tailed Blue,113,"res., common",,3,5,resident,larva,generalist,"3,4,5",overlapping,resident,statewide,"legumes, larva eat flowers and seeds",3+ overlapping broods,mature caterpillars,generalist,
4159  a,Papilio polyxenes asterius,Black Swallowtail,110,"res., common",,2,3,resident,pupa,generalist,"2,3",3rd partial brood occasional,resident,statewide,leaves/flowers of carrot/parsely family,2 or 3 broad overlapping broods,Pupae,Generalist,
4432,Nymphalis antiopa antiopa,Mourning Cloak,109,"res., uncommon",,1,1,resident,adult,generalist,1,adults live overwinter,resident,statewide,"varied trees, willows, elms, populus, birche, hackberry",1,adult,generalist,
4437  a,Vanessa atalanta rubria,Red Admiral,108,"res., uncommon to common",,2,3,resident,adult,generalist,"2,3",supplemented by migrants from south,resident,statewide,nettles,2 to 4,"adults, maybe pupae",generalist,"migration south in fall, north in spring, possible ""rear guard"" staying in north and diapausing as pupae"
4522  b,Limenitis arthemis astyanax,Red-spotted Purple,107,"res., uncommon to common",Basilarchia a. a.,2,2,resident,larva,med_generalist,2,,resident,statewide,"highly varied, trees",2 to 3,3rd instar larva,medium generalist,
4578,Megisto cymela cymela,Little Wood Satyr,107,"res., common",,1,1,resident,larva,generalist,1,"bimodal, potentially 2 distinct genotypes",resident,statewide,grasses,"1 bimodal in North, 2+ in TX",4th instar larva,generalist,
4450,Speyeria cybele cybele,Great Spangled Fritillary,105,"res., common",,1,1,resident,larva,med_generalist,1,bimodal??,resident,statewide,viola,"1, protandry, females estivate in mid-summer for trough in phenogram","1st instar larva unfed, at base of violet",medium generalist,
4440,Junonia coenia,Common Buckeye,104,"regular immigrant, rare to uncommon",,1,3,immigrant,adult,generalist,"1,2,3",depends on timing of establishment,regular immigrant,"statewide, more common in south","variety of plantains, figworts, etc.","2 to 4 locally, depending on migrant arrival",adults in South,generalist,
4420,Polygonia interrogationis,Question Mark,103,"res., uncommon to common",,2,2,resident,adult,generalist,2,broadly overlapping,resident,statewide,"Elms, hackberries, nettles","2, long summer brood (may aestivate), fall brood in late aug.","adults in North, or after migrating",Generalist,"migratory, northern movement in spring"
4036,Polites peckius,Peck's Skipper,102,"res., common",P. coras,2,2,resident,larva,generalist,2,,resident,statewide,grasses,"1 to 2 in North, 2 to 3 in South",larva or pupa,generalist,brood sequences not consistently reported
4421,Polygonia comma,Eastern Comma,102,"res., uncommon to common",,2,3,resident,adult,generalist,"2,3",overlapping,resident,statewide,"nettles, elms, hops","2, fall brood adult diapause (maybe after flying south), summer brood (may aestivate)",adult,generalist,
4004,Ancyloxypha numitor,Least Skipper,101,"res., common",,2,3,resident,larva,generalist,3,,resident,statewide,grasses,2 to 4,3rd or 4th instar larva,generalist,
4587  b,Cercyonis pegala alope,Common Wood Nymph,100,"res., uncommon to common",,1,1,resident,larva,generalist,1,,resident,statewide,various grasses,"1, protandry with males short-lived",hatchling caterpillars,Generalist,females may enter reproductive diapuase mid-summer
4523,Limenitis archippus archippus,Viceroy,97,"res., uncommon to common, localized",Basilarchia a. a.,2,2,resident,larva,med_generalist,2,,resident,statewide,"Salix, Populus",2 to 3,"3rd instar larva, some from early broods diapause",medium generalist,
4435,Vanessa cardui,Painted Lady,96,"irregular immigrant, rare to common",,2,3,immigrant,adult,generalist,"1,2,3",depends on timing of establishment,irregular immigrant,statewide,>100 hosts,"2 to 4 broods locally, arrive in spring from migration from Mexico",adults,generalist,
4181,Papilio troilus troilus,Spicebush Swallowtail,95,"res., uncommon to common",Papilio troilus troilus,2,2,resident,pupa,generalist,2,,resident,statewide,"Laurel shrubs, spicebush","2 overlapping in North, 3 in South",Pupae from different generations,Generalist,
4060,Poanes zabulon,Zabulon Skipper,90,"res., common to uncommon, central to southernly",Southern Golden Skipper,2,2,resident,larva,generalist,2,,resident,"statewide, more common in south",various grasses,2 to 3,"not reported, probably larva",generalist,
4012,Thymelicus lineola,European Skipper,83,"naturalized res., common, northernly",,1,2,naturalized,egg,generalist,"1,2",2nd partial brood possible,naturalized resident,"statewide, rarer in the south",grasses,"1, poisslbe small 2nd locally","eggs, with 1st instar larva inside",generalist,"can be locally hyperabundant, with lean years"
4465,Boloria bellona bellona,Meadow Fritillary,81,"res., common",Clossiana b. b.,2,4,resident,larva,med_generalist,"2,3,4",4th possible in some years,resident,statewide,viola,"2-3, last maybe partial",3rd/4th instar larva,medium generalist,
4059,Poanes hobomok hobomok,Hobomok Skipper,78,"res., uncommon to common",Northern Golden Skipper,1,2,resident,larva,generalist,"1,2",2nd partial brood possible,resident,statewide,panic and blue grasses,1 long,larva,Generalist,
4013,Hylephila phyleus phyleus,Fiery Skipper,77,"regular immigrant, uncommon to rare, southernly",,1,1,immigrant,NA,generalist,1,capable of 1 in OH,regular immigrant,"statewide, more common in far south",various grasses,2 to 5,unreported,generalist,common migrant northward
4048,Pompeius verna,Little Glassy Wing,77,"res., uncommon, southernly, localized",,1,1,resident,larva,generalist,1,,resident,statewide,Purpletop,"1 in North, 2 in South",early larva,generalist,
4434,Vanessa virginiensis,American Lady,76,"res., uncommon to common",,2,4,resident,adult,generalist,"3,4",4th brood occasional,resident,statewide,"Anaphalis, Gnaphalium, Antennaria",2 to 4,adults,generalist,"winters farther north than other Vanessas, but still migrates"
4336  a,Strymon melinus humuli,Gray Hairstreak,74,"res., uncommon to common, southernly",,2,4,resident,pupa,generalist,"3,4",4th brood possible,resident,"statewide, more common in south","extremely varied, flowers and fruits/seeds, mallow/legumes common","2 overlapping in North, 3 in South",pupa,generalist,
4078  a,Euphyes vestris metacomet,Dun Skipper,71,"res., common",E. ruricola m.,2,3,resident,larva,generalist,"2,3",3rd partial brood occasional,resident,statewide,"sedges, maybe grasses","1 extended in North, 2 in South",3rd instar larva,generalist,
4041,Polites themistocles,Tawny-edged Skipper,68,"res., common",,2,2,resident,pupa,generalist,2,,resident,statewide,grasses and sedges,"1 far north, 2 elsewhere",pupa,generalist,
4282  a,Satyrium calanus falacer,Banded Hairstreak,66,"res., uncommon to common",,1,1,resident,egg,med_generalist,1,,resident,statewide,many oaks and hickories,1,eggs,Medium generalist,
4047,Wallengrenia egeremet,Northern Broken-Dash,66,"res., uncommon to common",,1,1,resident,larva,generalist,1,2nd partial brood possible,resident,statewide,panic grasses,"1 in North, 2-3 in South",middle instar larva,generalist,
3977,Pholisora catullus,Common Sooty Wing,62,"res., common",,2,3,resident,larva,generalist,"2,3",3rd partial brood occasional,resident,statewide,Lamb's quarters and Amaranths,2 to 3,mature larva,generalist,
3947,Erynnis juvenalis juvenalis,Juvenal's Duskywing,61,"res., common",,1,1,resident,larva,generalist,1,summer counts probably mistaken Horace's duskywing,resident,statewide,oaks,1,larva,generalist,emerges early but overwinters as late larva
